Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Clifford Robinson,SF,31,PHO,80,64,2359,9.5,19.9,0.479,0.6,1.9,0.321,8.9,18.0,0.496,5.5,8.0,0.6890000000000001,3.4,5.7,9.1,3.8,2.0,2.0,3.1,5.5,25.2,0,108,101
David Robinson*,C,32,SAS,73,73,2457,12.0,23.5,0.511,0.0,0.1,0.25,12.0,23.4,0.512,10.7,14.6,0.735,5.3,11.8,17.1,4.4,1.4,4.2,4.5,4.5,34.8,0,114,94
Glenn Robinson,SF,25,MIL,56,56,2294,12.4,26.4,0.47,0.6,1.5,0.385,11.8,24.9,0.475,5.0,6.2,0.8079999999999999,1.9,5.2,7.1,3.7,1.6,0.8,4.6,3.8,30.4,0,100,107
James Robinson,PG,27,LAC,70,13,1231,8.2,21.1,0.389,3.1,9.5,0.32899999999999996,5.1,11.6,0.43799999999999994,3.2,4.5,0.72,1.6,3.1,4.7,5.7,1.6,0.4,4.1,4.3,22.8,0,98,114
Larry Robinson,SF,30,VAN,6,0,41,7.6,24.2,0.316,3.8,7.6,0.5,3.8,16.5,0.231,2.5,2.5,1.0,2.5,12.7,15.3,1.3,5.1,0.0,2.5,0.0,21.6,0,90,101
Dennis Rodman*,PF,36,CHI,80,66,2856,2.9,6.8,0.431,0.1,0.4,0.174,2.9,6.4,0.44799999999999995,1.2,2.1,0.55,7.9,14.7,22.7,4.3,0.9,0.3,2.8,4.5,7.1,0,106,97
Carlos Rogers,PF,26,TOT,21,0,376,6.5,12.6,0.516,0.0,0.3,0.0,6.5,12.3,0.528,2.5,4.4,0.563,4.8,4.4,9.3,2.5,1.4,1.1,1.9,4.8,15.5,0,111,113
Rodney Rogers,SF,26,LAC,76,70,2499,8.9,19.4,0.456,1.5,4.4,0.34,7.4,15.0,0.49,4.7,6.8,0.6859999999999999,3.2,5.6,8.8,4.2,1.9,0.8,4.0,5.0,23.9,0,104,111
Roy Rogers,PF,24,TOT,15,0,106,4.4,12.2,0.36,0.0,0.0,0.0,4.4,12.2,0.36,1.0,2.9,0.33299999999999996,3.9,4.4,8.3,1.0,1.5,3.9,2.4,8.8,9.8,0,78,109
Sean Rooks,C,28,LAL,41,1,425,5.6,12.2,0.455,0.0,0.0,0.0,5.6,12.2,0.455,5.7,9.5,0.595,5.6,8.7,14.2,2.9,0.2,2.8,2.3,8.2,16.8,0,112,104
Jalen Rose,SF,25,IND,82,0,1706,9.3,19.4,0.478,0.8,2.3,0.342,8.5,17.1,0.496,5.3,7.3,0.728,0.9,5.3,6.2,5.0,1.8,0.4,4.2,5.5,24.7,0,101,103
Malik Rose,PF,23,SAS,53,0,429,7.5,17.2,0.434,0.1,0.4,0.33299999999999996,7.3,16.8,0.436,4.9,7.7,0.639,5.1,6.3,11.4,2.4,2.7,0.9,5.6,10.0,20.0,0,90,98
Donald Royal,SF,31,TOT,31,5,323,4.2,11.5,0.36200000000000004,0.0,0.0,0.0,4.2,11.5,0.36200000000000004,4.8,5.5,0.879,3.0,3.8,6.8,2.8,1.2,0.2,1.7,5.8,13.1,0,107,109
Clifford Rozier,C,25,MIN,6,0,30,5.2,10.4,0.5,0.0,0.0,0.0,5.2,10.4,0.5,0.0,1.7,0.0,5.2,5.2,10.4,0.0,0.0,0.0,6.9,12.1,10.4,0,66,112
Bryon Russell,SF,27,UTA,82,7,2219,5.5,12.7,0.43,1.8,5.2,0.341,3.7,7.5,0.49200000000000005,5.2,6.7,0.7659999999999999,1.9,6.0,7.9,2.5,2.2,0.8,2.0,5.6,17.9,0,116,105
Arvydas Sabonis*,C,33,POR,73,73,2333,9.3,18.9,0.493,0.7,2.6,0.261,8.6,16.3,0.53,7.4,9.3,0.7979999999999999,3.4,13.3,16.7,5.0,1.5,1.8,4.3,6.1,26.7,0,112,97
Kevin Salvadori,C,27,SAC,16,0,87,0.6,7.8,0.077,0.0,0.0,0.0,0.6,7.8,0.077,1.8,3.6,0.5,3.0,9.0,12.0,1.8,0.0,6.6,3.0,7.2,3.0,0,47,103
Danny Schayes,C,38,ORL,74,33,1272,6.7,16.1,0.418,0.0,0.0,0.0,6.7,16.1,0.418,4.2,5.2,0.807,4.2,6.3,10.5,1.9,1.5,1.4,2.6,7.9,17.6,0,101,104
Detlef Schrempf,SF,35,SEA,78,78,2742,8.5,17.5,0.48700000000000004,1.2,2.9,0.415,7.3,14.6,0.501,5.8,6.9,0.8440000000000001,2.6,8.2,10.8,6.6,1.2,0.4,3.3,4.0,24.0,0,118,105
Dennis Scott,SF,29,TOT,81,45,2290,7.6,19.2,0.397,2.9,7.9,0.365,4.7,11.3,0.42,2.4,3.0,0.8079999999999999,1.1,4.6,5.7,3.6,1.2,0.9,2.4,3.5,20.6,0,101,109
Shawnelle Scott,C,25,CLE,41,0,188,4.5,10.2,0.444,0.0,0.0,0.0,4.5,10.2,0.444,3.4,5.1,0.667,5.7,11.1,16.8,2.3,1.7,2.3,2.8,12.8,12.5,0,102,95
Shea Seals,SG,22,LAL,4,0,9,5.7,45.6,0.125,0.0,17.1,0.0,5.7,28.5,0.2,11.4,22.8,0.5,17.1,5.7,22.8,0.0,5.7,0.0,0.0,5.7,22.8,0,69,98
Malik Sealy,SF,27,DET,77,10,1641,7.2,16.7,0.428,0.3,1.4,0.22,6.9,15.4,0.446,5.0,6.0,0.8240000000000001,1.6,5.7,7.3,3.3,2.2,0.7,2.6,5.2,19.6,0,103,104
Rony Seikaly,C,32,TOT,56,49,1636,8.4,19.4,0.43200000000000005,0.0,0.1,0.0,8.4,19.3,0.433,8.2,11.1,0.741,4.9,8.3,13.2,2.6,0.9,1.4,4.9,5.5,25.0,0,100,104
God Shammgod,PG,21,WAS,20,0,146,6.8,20.8,0.32799999999999996,0.0,0.7,0.0,6.8,20.1,0.33899999999999997,8.2,10.7,0.767,0.7,1.8,2.5,12.9,2.5,0.4,7.5,9.7,21.8,0,87,107
Brian Shaw,PG,31,TOT,59,34,1530,5.3,15.4,0.345,1.0,3.3,0.295,4.3,12.1,0.359,1.2,1.8,0.6920000000000001,1.3,6.1,7.4,9.0,1.7,0.6,3.4,5.1,12.8,0,89,107
Dickey Simpkins,PF,25,TOT,40,0,433,5.9,10.9,0.539,0.0,0.2,0.0,5.9,10.7,0.552,4.4,8.6,0.514,3.3,6.2,9.5,4.1,1.1,0.6,3.9,6.6,16.2,0,100,105
