Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bob Sura,SG,29,GSW,55,0,1130,4.3,10.4,0.41200000000000003,0.9,2.7,0.32899999999999996,3.4,7.7,0.44,3.3,4.7,0.696,1.8,3.5,5.3,5.6,1.4,0.1,2.6,3.4,12.8
Stromile Swift,PF,23,MEM,67,26,1478,5.7,11.9,0.48100000000000004,0.0,0.0,0.0,5.7,11.9,0.483,4.3,6.0,0.722,2.8,6.6,9.4,1.1,1.3,2.5,2.4,3.7,15.8
Wally Szczerbiak,SF,25,MIN,52,42,1836,6.9,14.3,0.48100000000000004,1.2,2.8,0.42100000000000004,5.7,11.5,0.49700000000000005,2.9,3.4,0.867,1.0,3.7,4.7,2.7,0.9,0.4,1.7,2.4,17.9
Maurice Taylor,PF,26,HOU,67,9,1377,6.0,14.0,0.43200000000000005,0.0,0.1,0.0,6.0,13.9,0.433,2.6,3.6,0.725,2.5,3.7,6.2,1.7,0.6,0.6,2.6,3.9,14.7
Jason Terry,PG,25,ATL,81,81,3081,5.7,13.3,0.428,1.9,5.0,0.371,3.8,8.3,0.462,3.0,3.4,0.887,0.4,2.8,3.3,7.0,1.5,0.2,2.9,2.0,16.3
Etan Thomas,PF,24,WAS,38,0,513,4.3,8.7,0.49200000000000005,0.0,0.0,0.0,4.3,8.7,0.49200000000000005,4.2,6.6,0.638,4.9,6.7,11.6,0.2,0.6,1.6,2.3,4.6,12.8
Kenny Thomas,PF,25,TOT,66,42,1978,4.7,10.2,0.465,0.0,0.0,0.0,4.7,10.2,0.465,2.7,3.6,0.746,3.4,6.3,9.6,2.0,1.1,0.5,2.1,3.1,12.1
Kurt Thomas,C,30,NYK,81,81,2577,6.9,14.4,0.483,0.0,0.0,0.667,6.9,14.3,0.483,1.9,2.6,0.75,2.2,6.7,8.9,2.3,1.1,1.4,1.9,4.8,15.8
Tim Thomas,SF,25,MIL,80,70,2358,6.3,14.2,0.44299999999999995,1.5,4.0,0.366,4.8,10.2,0.474,2.2,2.8,0.78,1.5,4.5,5.9,1.6,1.1,0.7,2.0,3.9,16.3
Jamaal Tinsley,PG,24,IND,73,69,2237,3.5,8.9,0.396,0.7,2.7,0.27699999999999997,2.8,6.3,0.446,1.3,1.8,0.7140000000000001,0.9,3.3,4.2,8.8,2.0,0.3,3.1,3.2,9.1
Óscar Torres,SG,26,GSW,17,0,109,5.3,11.9,0.444,2.3,4.3,0.5379999999999999,3.0,7.6,0.391,4.6,6.6,0.7,1.0,3.0,4.0,1.0,1.3,0.7,2.6,3.0,17.5
Robert Traylor,C,25,NOH,69,0,851,4.4,10.0,0.44299999999999995,0.0,0.1,0.33299999999999996,4.4,9.9,0.444,2.4,3.7,0.648,4.6,6.5,11.1,2.1,1.9,1.6,2.2,6.5,11.3
Gary Trent,SF,28,MIN,80,22,1222,6.1,11.5,0.535,0.0,0.1,0.0,6.1,11.4,0.537,1.8,3.0,0.594,3.1,5.5,8.6,2.3,0.9,0.7,1.7,4.2,14.0
Jeff Trepagnier,SG,23,DEN,8,0,97,6.3,14.8,0.425,1.5,3.0,0.5,4.8,11.9,0.406,2.6,2.6,1.0,3.0,3.0,5.9,2.2,3.0,0.0,3.0,1.9,16.7
Cezary Trybański,C,23,MEM,15,0,86,2.1,8.4,0.25,0.0,0.0,0.0,2.1,8.4,0.25,1.7,4.2,0.4,2.5,3.3,5.9,0.4,0.0,2.5,3.3,5.4,5.9
